date,price_eurusd,open_eurusd,high_eurusd,low_eurusd,change_eurusd,bid,ask,price_sp500,open_sp500,high_sp500,low_sp500,change_sp500
1/4/1983,0.9837,0.9837,0.9837,0.9837,0.83%,45.45,44.95,141.3,138.3,141.9,137.3,2.17%
1/5/1983,0.9872,0.9872,0.9872,0.9872,0.36%,45.45,44.95,142,141.3,143.7,140.2,0.50%
1/6/1983,0.9885,0.9885,0.9885,0.9885,0.13%,45.45,44.95,145.3,142,146.7,141.7,2.32%
1/7/1983,0.9911,0.9911,0.9911,0.9911,0.26%,45.45,44.95,145.2,145.3,147.6,143.8,-0.07%
1/10/1983,0.9949,0.9949,0.9949,0.9949,0.38%,45.45,44.95,146.8,145.2,148,143.8,1.10%
1/11/1983,0.9891,0.9891,0.9891,0.9891,-0.58%,45.4,44.9,145.8,146.8,147.7,144.4,-0.68%
1/12/1983,0.9846,0.9846,0.9846,0.9846,-0.45%,45.4,44.9,146.7,145.8,149.1,145.1,0.62%
1/13/1983,0.9896,0.9896,0.9896,0.9896,0.51%,45.4,44.9,145.7,146.7,147.8,144.6,-0.68%
1/14/1983,0.9843,0.9843,0.9843,0.9843,-0.54%,45.4,44.9,146.7,145.7,148,144.9,0.69%
1/17/1983,0.9857,0.9857,0.9857,0.9857,0.14%,45.4,44.9,146.7,146.7,148.9,145.6,0.00%
1/18/1983,0.9711,0.9711,0.9711,0.9711,-1.48%,45.35,44.85,146.4,146.7,147.7,144.4,-0.20%
1/19/1983,0.9628,0.9628,0.9628,0.9628,-0.85%,45.35,44.85,145.3,146.4,147.4,143.5,-0.75%
1/20/1983,0.9593,0.9593,0.9593,0.9593,-0.36%,45.35,44.85,146.3,145.3,147.8,144.5,0.69%
1/21/1983,0.954,0.954,0.954,0.954,-0.55%,45.3,44.8,143.8,146.3,146.3,142.5,-1.71%
1/24/1983,0.9412,0.9412,0.9412,0.9412,-1.34%,45.3,44.8,140,143.8,143.8,137.7,-2.64%
1/25/1983,0.9584,0.9584,0.9584,0.9584,1.83%,45.25,44.75,141.8,140,142.7,139.1,1.29%
1/26/1983,0.9606,0.9606,0.9606,0.9606,0.23%,45.25,44.75,141.5,141.8,143.2,140.1,-0.21%
1/27/1983,0.9537,0.9537,0.9537,0.9537,-0.72%,45.25,44.75,144.3,141.5,145,141.2,1.98%
1/28/1983,0.9556,0.9556,0.9556,0.9556,0.20%,45.25,44.75,144.5,144.3,146.6,143.2,0.14%
1/31/1983,0.9471,0.9471,0.9471,0.9471,-0.89%,45.25,44.75,145.3,144.5,146.1,143,0.55%
2/1/1983,0.9454,0.9454,0.9454,0.9454,-0.18%,45.2,44.7,143,145.3,146,142.6,-1.58%
2/2/1983,0.9357,0.9357,0.9357,0.9357,-1.03%,45.2,44.7,143.2,143,144.6,141,0.14%
2/3/1983,0.9426,0.9426,0.9426,0.9426,0.74%,45.2,44.7,144.3,143.2,145.4,142.5,0.77%
2/4/1983,0.9385,0.9385,0.9385,0.9385,-0.43%,45.2,44.7,146.1,144.3,146.9,143.2,1.25%
2/7/1983,0.9428,0.9428,0.9428,0.9428,0.46%,45.2,44.7,146.9,146.1,148.3,145.1,0.55%
2/8/1983,0.9533,0.9533,0.9533,0.9533,1.11%,45.2,44.7,145.7,146.9,147.9,144.7,-0.82%
2/9/1983,0.9569,0.9569,0.9569,0.9569,0.38%,45.2,44.7,145,145.7,146.7,143.4,-0.48%
2/10/1983,0.9625,0.9625,0.9625,0.9625,0.59%,45.2,44.7,147.5,145,148.5,144.8,1.72%
2/11/1983,0.9658,0.9658,0.9658,0.9658,0.34%,45.2,44.7,147.6,147.5,149.6,146.4,0.07%
2/14/1983,0.9615,0.9615,0.9615,0.9615,-0.45%,45.2,44.7,148.9,147.6,149.9,146.7,0.88%
2/15/1983,0.9679,0.9679,0.9679,0.9679,0.67%,45.15,44.65,148.3,148.9,150.3,147.3,-0.40%
2/16/1983,0.9689,0.9689,0.9689,0.9689,0.10%,45.15,44.65,147.4,148.3,149.7,146.7,-0.61%
2/17/1983,0.9664,0.9664,0.9664,0.9664,-0.26%,45.1,44.6,147.4,147.4,148.5,145.7,0.00%
2/18/1983,0.9658,0.9658,0.9658,0.9658,-0.06%,45.1,44.6,148,147.4,149.1,146.4,0.41%
2/22/1983,0.9638,0.9638,0.9638,0.9638,-0.49%,45.1,44.6,145.5,148,148.1,144.7,-1.69%
2/23/1983,0.957,0.957,0.957,0.957,-0.71%,45.1,44.6,146.8,145.5,147.5,144.5,0.89%
2/24/1983,0.9626,0.9626,0.9626,0.9626,0.59%,45.1,44.6,149.6,146.8,150.4,146.8,1.91%
2/25/1983,0.9601,0.9601,0.9601,0.9601,-0.26%,45.1,44.6,149.7,149.6,151.8,148.7,0.07%
2/28/1983,0.9527,0.9527,0.9527,0.9527,-0.77%,45.1,44.6,148.1,149.7,150.3,146.9,-1.07%
3/1/1983,0.9487,0.9487,0.9487,0.9487,-0.42%,45.1,44.6,150.9,148.1,151.8,148.1,1.89%
